"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3259","TC-001: Verify that registration page opens successfully","chromium","2026-06-22","passed","2026-06-22","Redmine Smoke and Functional Test Suite","redmine.spec.ts","",""
"","3747","TC-002: Verify that login page opens successfully","webkit","2026-06-22","passed","2026-06-22","Redmine Smoke and Functional Test Suite","redmine.spec.ts","",""
"","3107","TC-004: Verify that Projects page is accessible from header menu","firefox","2026-06-22","passed","2026-06-22","Redmine Smoke and Functional Test Suite","redmine.spec.ts","",""
"","10946","TC-001: Verify that registration page opens successfully","webkit","2026-06-22","passed","2026-06-22","Redmine Smoke and Functional Test Suite","redmine.spec.ts","",""
"","3332","TC-004: Verify that Projects page is accessible from header menu","webkit","2026-06-22","passed","2026-06-22","Redmine Smoke and Functional Test Suite","redmine.spec.ts","",""
"","2432","TC-003: Verify that search returns results for a valid keyword","chromium","2026-06-22","passed","2026-06-22","Redmine Smoke and Functional Test Suite","redmine.spec.ts","",""
"","3600","TC-003: Verify that search returns results for a valid keyword","webkit","2026-06-22","passed","2026-06-22","Redmine Smoke and Functional Test Suite","redmine.spec.ts","",""
"","2793","TC-002: Verify that login page opens successfully","firefox","2026-06-22","passed","2026-06-22","Redmine Smoke and Functional Test Suite","redmine.spec.ts","",""
"","3635","TC-001: Verify that registration page opens successfully","firefox","2026-06-22","passed","2026-06-22","Redmine Smoke and Functional Test Suite","redmine.spec.ts","",""
"","2722","TC-005: Verify that Download page is opened from navigation menu","chromium","2026-06-22","passed","2026-06-22","Redmine Smoke and Functional Test Suite","redmine.spec.ts","",""
"","3125","TC-003: Verify that search returns results for a valid keyword","firefox","2026-06-22","passed","2026-06-22","Redmine Smoke and Functional Test Suite","redmine.spec.ts","",""
"","2288","TC-004: Verify that Projects page is accessible from header menu","chromium","2026-06-22","passed","2026-06-22","Redmine Smoke and Functional Test Suite","redmine.spec.ts","",""
"","2456","TC-002: Verify that login page opens successfully","chromium","2026-06-22","passed","2026-06-22","Redmine Smoke and Functional Test Suite","redmine.spec.ts","",""
"","3974","TC-005: Verify that Download page is opened from navigation menu","webkit","2026-06-22","passed","2026-06-22","Redmine Smoke and Functional Test Suite","redmine.spec.ts","",""
"","2875","TC-005: Verify that Download page is opened from navigation menu","firefox","2026-06-22","passed","2026-06-22","Redmine Smoke and Functional Test Suite","redmine.spec.ts","",""
